Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.66]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.127]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
256                    42.67
512                    44.21
1024                   41.52
2048                   63.77
4096                   79.27
8192                  116.54
16384                 167.51
32768                 264.35
65536                 687.84
131072               1031.74
262144               1622.65
524288               3339.47
1048576              7367.06
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.151]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.78]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      41.96
2                      41.13
4                      41.31
8                      40.84
16                     47.82
32                     48.09
64                     42.26
128                    41.11
256                    44.31
512                    50.95
1024                   44.62
2048                   61.92
4096                   75.39
8192                  104.40
16384                 155.18
32768                 275.18
65536                 632.69
131072               1143.88
262144               2170.41
524288               3463.06
1048576              7158.97
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.153]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.79]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      41.93
2                      42.79
4                      41.82
8                      42.73
16                     43.59
32                     42.11
64                     41.94
128                    41.40
256                    43.34
512                    39.57
1024                   43.48
2048                   65.32
4096                   77.14
8192                   93.31
16384                 140.55
32768                 238.00
65536                 519.50
131072               1168.53
262144               2284.78
524288               3517.37
1048576              6618.22
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.155]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.80]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      40.23
2                      41.28
4                      41.30
8                      39.22
16                     42.27
32                     46.80
64                     45.38
128                    38.60
256                    42.26
512                    40.46
1024                   45.76
2048                   65.23
4096                   75.09
8192                  102.06
16384                 155.52
32768                 263.43
65536                 610.26
131072                999.75
262144               1952.66
524288               4153.51
1048576              6632.12
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.157]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.81]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.22
2                      49.94
4                      44.79
8                      41.09
16                     38.87
32                     38.74
64                     42.00
128                    44.07
256                    39.46
512                    41.15
1024                   40.70
2048                   62.95
4096                   78.60
8192                  104.73
16384                 152.49
32768                 262.50
65536                 516.43
131072                960.40
262144               1833.07
524288               3844.96
1048576              7280.36
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.159]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.82]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      43.23
2                      45.21
4                      39.52
8                      42.82
16                     40.42
32                     44.56
64                     42.00
128                    42.77
256                    41.68
512                    40.53
1024                   44.24
2048                   64.22
4096                   79.38
8192                  100.55
16384                 154.92
32768                 254.90
65536                 582.84
131072               1036.38
262144               1672.89
524288               3718.40
1048576              7252.80
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.161]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.83]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      44.21
2                      41.67
4                      40.30
8                      41.56
16                     45.72
32                     41.41
64                     39.13
128                    38.50
256                    41.02
512                    42.09
1024                   46.93
2048                   65.90
4096                   75.00
8192                  101.51
16384                 151.08
32768                 278.00
65536                 564.11
131072               1033.32
262144               1924.01
524288               4002.28
1048576              6522.40
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.163]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.84]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      39.29
2                      39.02
4                      43.67
8                      42.52
16                     42.21
32                     40.52
64                     45.36
128                    48.73
256                    45.08
512                    40.93
1024                   45.01
2048                   62.78
4096                   75.57
8192                   97.55
16384                 148.43
32768                 251.98
65536                 610.79
131072               1109.46
262144               1924.63
524288               3170.51
1048576              6599.63
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.85]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.165]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.12
2                      42.93
4                      40.30
8                      44.13
16                     39.73
32                     39.63
64                     42.09
128                    41.99
256                    42.36
512                    48.44
1024                   46.43
2048                   64.70
4096                   78.38
8192                  110.45
16384                 162.89
32768                 285.68
65536                 657.60
131072               1051.36
262144               2105.21
524288               3678.59
1048576              6738.14
