Size,Latency(us),Benchmark
2,37.06,latency-2-nodes-baremetal-calico-CNI
4,37.53,latency-2-nodes-baremetal-calico-CNI
8,37.1,latency-2-nodes-baremetal-calico-CNI
16,36.78,latency-2-nodes-baremetal-calico-CNI
32,39.74,latency-2-nodes-baremetal-calico-CNI
64,39.86,latency-2-nodes-baremetal-calico-CNI
128,40.47,latency-2-nodes-baremetal-calico-CNI
256,38.01,latency-2-nodes-baremetal-calico-CNI
512,37.43,latency-2-nodes-baremetal-calico-CNI
1024,39.67,latency-2-nodes-baremetal-calico-CNI
2048,54.73,latency-2-nodes-baremetal-calico-CNI
4096,58.25,latency-2-nodes-baremetal-calico-CNI
8192,57.48,latency-2-nodes-baremetal-calico-CNI
16384,60.29,latency-2-nodes-baremetal-calico-CNI
32768,75.82,latency-2-nodes-baremetal-calico-CNI
65536,98.59,latency-2-nodes-baremetal-calico-CNI
131072,136.38,latency-2-nodes-baremetal-calico-CNI
262144,332.42,latency-2-nodes-baremetal-calico-CNI
524288,790.1,latency-2-nodes-baremetal-calico-CNI
1048576,1627.71,latency-2-nodes-baremetal-calico-CNI
2097152,3236.06,latency-2-nodes-baremetal-calico-CNI
4194304,6643.88,latency-2-nodes-baremetal-calico-CNI
2,36.66,latency-2-nodes-baremetal-calico-CNI
4,36.43,latency-2-nodes-baremetal-calico-CNI
8,39.16,latency-2-nodes-baremetal-calico-CNI
16,37.27,latency-2-nodes-baremetal-calico-CNI
32,37.03,latency-2-nodes-baremetal-calico-CNI
64,41.18,latency-2-nodes-baremetal-calico-CNI
128,39.95,latency-2-nodes-baremetal-calico-CNI
256,38.75,latency-2-nodes-baremetal-calico-CNI
512,38.24,latency-2-nodes-baremetal-calico-CNI
1024,38.05,latency-2-nodes-baremetal-calico-CNI
2048,54.15,latency-2-nodes-baremetal-calico-CNI
4096,57.5,latency-2-nodes-baremetal-calico-CNI
8192,60.23,latency-2-nodes-baremetal-calico-CNI
16384,65.39,latency-2-nodes-baremetal-calico-CNI
32768,81.96,latency-2-nodes-baremetal-calico-CNI
65536,114.1,latency-2-nodes-baremetal-calico-CNI
131072,146.73,latency-2-nodes-baremetal-calico-CNI
262144,343.06,latency-2-nodes-baremetal-calico-CNI
524288,762.65,latency-2-nodes-baremetal-calico-CNI
1048576,1604.59,latency-2-nodes-baremetal-calico-CNI
2097152,3214.22,latency-2-nodes-baremetal-calico-CNI
4194304,6593.87,latency-2-nodes-baremetal-calico-CNI
2,36.24,latency-2-nodes-baremetal-calico-CNI
4,37.73,latency-2-nodes-baremetal-calico-CNI
8,38.36,latency-2-nodes-baremetal-calico-CNI
16,39.16,latency-2-nodes-baremetal-calico-CNI
32,37.47,latency-2-nodes-baremetal-calico-CNI
64,37.97,latency-2-nodes-baremetal-calico-CNI
128,41.9,latency-2-nodes-baremetal-calico-CNI
256,39.61,latency-2-nodes-baremetal-calico-CNI
512,38.67,latency-2-nodes-baremetal-calico-CNI
1024,38.85,latency-2-nodes-baremetal-calico-CNI
2048,54.79,latency-2-nodes-baremetal-calico-CNI
4096,58.86,latency-2-nodes-baremetal-calico-CNI
8192,59.5,latency-2-nodes-baremetal-calico-CNI
16384,66.24,latency-2-nodes-baremetal-calico-CNI
32768,77.39,latency-2-nodes-baremetal-calico-CNI
65536,98.93,latency-2-nodes-baremetal-calico-CNI
131072,136.99,latency-2-nodes-baremetal-calico-CNI
262144,320.43,latency-2-nodes-baremetal-calico-CNI
524288,827.71,latency-2-nodes-baremetal-calico-CNI
1048576,1628.62,latency-2-nodes-baremetal-calico-CNI
2097152,3194.67,latency-2-nodes-baremetal-calico-CNI
4194304,6637.88,latency-2-nodes-baremetal-calico-CNI
2,37.11,latency-2-nodes-baremetal-calico-CNI
4,38.08,latency-2-nodes-baremetal-calico-CNI
8,38.5,latency-2-nodes-baremetal-calico-CNI
16,37.02,latency-2-nodes-baremetal-calico-CNI
32,37.77,latency-2-nodes-baremetal-calico-CNI
64,37.69,latency-2-nodes-baremetal-calico-CNI
128,40.07,latency-2-nodes-baremetal-calico-CNI
256,40.28,latency-2-nodes-baremetal-calico-CNI
512,37.89,latency-2-nodes-baremetal-calico-CNI
1024,39.93,latency-2-nodes-baremetal-calico-CNI
2048,53.67,latency-2-nodes-baremetal-calico-CNI
4096,56.48,latency-2-nodes-baremetal-calico-CNI
8192,59.95,latency-2-nodes-baremetal-calico-CNI
16384,65.66,latency-2-nodes-baremetal-calico-CNI
32768,79.1,latency-2-nodes-baremetal-calico-CNI
65536,105.37,latency-2-nodes-baremetal-calico-CNI
131072,140.16,latency-2-nodes-baremetal-calico-CNI
262144,331.18,latency-2-nodes-baremetal-calico-CNI
524288,759.42,latency-2-nodes-baremetal-calico-CNI
1048576,1599.27,latency-2-nodes-baremetal-calico-CNI
2097152,3244.36,latency-2-nodes-baremetal-calico-CNI
4194304,6587.96,latency-2-nodes-baremetal-calico-CNI
2,38.28,latency-2-nodes-baremetal-calico-CNI
4,38.16,latency-2-nodes-baremetal-calico-CNI
8,37.18,latency-2-nodes-baremetal-calico-CNI
16,38.47,latency-2-nodes-baremetal-calico-CNI
32,38.34,latency-2-nodes-baremetal-calico-CNI
64,37.23,latency-2-nodes-baremetal-calico-CNI
128,39.29,latency-2-nodes-baremetal-calico-CNI
256,39.76,latency-2-nodes-baremetal-calico-CNI
512,39.52,latency-2-nodes-baremetal-calico-CNI
1024,39.19,latency-2-nodes-baremetal-calico-CNI
2048,52.46,latency-2-nodes-baremetal-calico-CNI
4096,58.69,latency-2-nodes-baremetal-calico-CNI
8192,62.46,latency-2-nodes-baremetal-calico-CNI
16384,65.43,latency-2-nodes-baremetal-calico-CNI
32768,76.82,latency-2-nodes-baremetal-calico-CNI
65536,99.03,latency-2-nodes-baremetal-calico-CNI
131072,135.75,latency-2-nodes-baremetal-calico-CNI
262144,343.85,latency-2-nodes-baremetal-calico-CNI
524288,747.46,latency-2-nodes-baremetal-calico-CNI
1048576,1608.68,latency-2-nodes-baremetal-calico-CNI
2097152,3204.78,latency-2-nodes-baremetal-calico-CNI
4194304,6626.3,latency-2-nodes-baremetal-calico-CNI
2,34.43,latency-2-nodes-baremetal-calico-CNI
4,39.23,latency-2-nodes-baremetal-calico-CNI
8,38.5,latency-2-nodes-baremetal-calico-CNI
16,38.44,latency-2-nodes-baremetal-calico-CNI
32,40.44,latency-2-nodes-baremetal-calico-CNI
64,38.9,latency-2-nodes-baremetal-calico-CNI
128,39.65,latency-2-nodes-baremetal-calico-CNI
256,36.98,latency-2-nodes-baremetal-calico-CNI
512,37.94,latency-2-nodes-baremetal-calico-CNI
1024,39.07,latency-2-nodes-baremetal-calico-CNI
2048,53.98,latency-2-nodes-baremetal-calico-CNI
4096,56.94,latency-2-nodes-baremetal-calico-CNI
8192,60.5,latency-2-nodes-baremetal-calico-CNI
16384,67.6,latency-2-nodes-baremetal-calico-CNI
32768,79.32,latency-2-nodes-baremetal-calico-CNI
65536,99.48,latency-2-nodes-baremetal-calico-CNI
131072,144.93,latency-2-nodes-baremetal-calico-CNI
262144,335.44,latency-2-nodes-baremetal-calico-CNI
524288,780.44,latency-2-nodes-baremetal-calico-CNI
1048576,1579.37,latency-2-nodes-baremetal-calico-CNI
2097152,3274.74,latency-2-nodes-baremetal-calico-CNI
4194304,6576.11,latency-2-nodes-baremetal-calico-CNI
2,36.77,latency-2-nodes-baremetal-calico-CNI
4,37.18,latency-2-nodes-baremetal-calico-CNI
8,38.41,latency-2-nodes-baremetal-calico-CNI
16,38.51,latency-2-nodes-baremetal-calico-CNI
32,37.76,latency-2-nodes-baremetal-calico-CNI
64,40.09,latency-2-nodes-baremetal-calico-CNI
128,40.51,latency-2-nodes-baremetal-calico-CNI
256,38.19,latency-2-nodes-baremetal-calico-CNI
512,39.21,latency-2-nodes-baremetal-calico-CNI
1024,38.85,latency-2-nodes-baremetal-calico-CNI
2048,55.49,latency-2-nodes-baremetal-calico-CNI
4096,58.63,latency-2-nodes-baremetal-calico-CNI
8192,61.66,latency-2-nodes-baremetal-calico-CNI
16384,63.97,latency-2-nodes-baremetal-calico-CNI
32768,77.21,latency-2-nodes-baremetal-calico-CNI
65536,101.34,latency-2-nodes-baremetal-calico-CNI
131072,140.54,latency-2-nodes-baremetal-calico-CNI
262144,324.06,latency-2-nodes-baremetal-calico-CNI
524288,774.54,latency-2-nodes-baremetal-calico-CNI
1048576,1585.33,latency-2-nodes-baremetal-calico-CNI
2097152,3224.8,latency-2-nodes-baremetal-calico-CNI
4194304,6557.66,latency-2-nodes-baremetal-calico-CNI
2,34.87,latency-2-nodes-baremetal-calico-CNI
4,38.34,latency-2-nodes-baremetal-calico-CNI
8,36.78,latency-2-nodes-baremetal-calico-CNI
16,39.75,latency-2-nodes-baremetal-calico-CNI
32,40.51,latency-2-nodes-baremetal-calico-CNI
64,37.23,latency-2-nodes-baremetal-calico-CNI
128,37.94,latency-2-nodes-baremetal-calico-CNI
256,38.56,latency-2-nodes-baremetal-calico-CNI
512,38.75,latency-2-nodes-baremetal-calico-CNI
1024,38.76,latency-2-nodes-baremetal-calico-CNI
2048,53.47,latency-2-nodes-baremetal-calico-CNI
4096,57.41,latency-2-nodes-baremetal-calico-CNI
8192,61.05,latency-2-nodes-baremetal-calico-CNI
16384,64.8,latency-2-nodes-baremetal-calico-CNI
32768,79.86,latency-2-nodes-baremetal-calico-CNI
65536,100.31,latency-2-nodes-baremetal-calico-CNI
131072,138.06,latency-2-nodes-baremetal-calico-CNI
262144,329.03,latency-2-nodes-baremetal-calico-CNI
524288,775.46,latency-2-nodes-baremetal-calico-CNI
1048576,1575.04,latency-2-nodes-baremetal-calico-CNI
2097152,3245.99,latency-2-nodes-baremetal-calico-CNI
4194304,6541.55,latency-2-nodes-baremetal-calico-CNI
2,37.5,latency-2-nodes-baremetal-calico-CNI
4,38.72,latency-2-nodes-baremetal-calico-CNI
8,40.49,latency-2-nodes-baremetal-calico-CNI
16,37.33,latency-2-nodes-baremetal-calico-CNI
32,38.54,latency-2-nodes-baremetal-calico-CNI
64,37.86,latency-2-nodes-baremetal-calico-CNI
128,39.15,latency-2-nodes-baremetal-calico-CNI
256,38.6,latency-2-nodes-baremetal-calico-CNI
512,40.25,latency-2-nodes-baremetal-calico-CNI
1024,38.3,latency-2-nodes-baremetal-calico-CNI
2048,54.63,latency-2-nodes-baremetal-calico-CNI
4096,60.01,latency-2-nodes-baremetal-calico-CNI
8192,63.02,latency-2-nodes-baremetal-calico-CNI
16384,67.32,latency-2-nodes-baremetal-calico-CNI
32768,78.8,latency-2-nodes-baremetal-calico-CNI
65536,104.56,latency-2-nodes-baremetal-calico-CNI
131072,146.28,latency-2-nodes-baremetal-calico-CNI
262144,341.61,latency-2-nodes-baremetal-calico-CNI
524288,742.49,latency-2-nodes-baremetal-calico-CNI
1048576,1573.72,latency-2-nodes-baremetal-calico-CNI
2097152,3248.59,latency-2-nodes-baremetal-calico-CNI
4194304,6599.59,latency-2-nodes-baremetal-calico-CNI
2,37.47,latency-2-nodes-baremetal-calico-CNI
4,38.7,latency-2-nodes-baremetal-calico-CNI
8,37.37,latency-2-nodes-baremetal-calico-CNI
16,38.11,latency-2-nodes-baremetal-calico-CNI
32,39.19,latency-2-nodes-baremetal-calico-CNI
64,38.53,latency-2-nodes-baremetal-calico-CNI
128,38.68,latency-2-nodes-baremetal-calico-CNI
256,36.99,latency-2-nodes-baremetal-calico-CNI
512,39.35,latency-2-nodes-baremetal-calico-CNI
1024,38.93,latency-2-nodes-baremetal-calico-CNI
2048,52.11,latency-2-nodes-baremetal-calico-CNI
4096,58.29,latency-2-nodes-baremetal-calico-CNI
8192,63.74,latency-2-nodes-baremetal-calico-CNI
16384,67.04,latency-2-nodes-baremetal-calico-CNI
32768,77.99,latency-2-nodes-baremetal-calico-CNI
65536,99.43,latency-2-nodes-baremetal-calico-CNI
131072,138.24,latency-2-nodes-baremetal-calico-CNI
262144,320.28,latency-2-nodes-baremetal-calico-CNI
524288,756.73,latency-2-nodes-baremetal-calico-CNI
1048576,1561.51,latency-2-nodes-baremetal-calico-CNI
2097152,3257.79,latency-2-nodes-baremetal-calico-CNI
4194304,6533.27,latency-2-nodes-baremetal-calico-CNI
2,38.65,latency-2-nodes-baremetal-calico-CNI
4,40.83,latency-2-nodes-baremetal-calico-CNI
8,37.18,latency-2-nodes-baremetal-calico-CNI
16,38.07,latency-2-nodes-baremetal-calico-CNI
32,38.53,latency-2-nodes-baremetal-calico-CNI
64,39.74,latency-2-nodes-baremetal-calico-CNI
128,37.03,latency-2-nodes-baremetal-calico-CNI
256,38.6,latency-2-nodes-baremetal-calico-CNI
512,38.28,latency-2-nodes-baremetal-calico-CNI
1024,38.42,latency-2-nodes-baremetal-calico-CNI
2048,53.66,latency-2-nodes-baremetal-calico-CNI
4096,57.03,latency-2-nodes-baremetal-calico-CNI
8192,63.31,latency-2-nodes-baremetal-calico-CNI
16384,65.26,latency-2-nodes-baremetal-calico-CNI
32768,77.45,latency-2-nodes-baremetal-calico-CNI
65536,102.19,latency-2-nodes-baremetal-calico-CNI
131072,141.91,latency-2-nodes-baremetal-calico-CNI
262144,323.55,latency-2-nodes-baremetal-calico-CNI
524288,764.99,latency-2-nodes-baremetal-calico-CNI
1048576,1555.49,latency-2-nodes-baremetal-calico-CNI
2097152,3220.4,latency-2-nodes-baremetal-calico-CNI
4194304,6578.24,latency-2-nodes-baremetal-calico-CNI
2,37.95,latency-2-nodes-baremetal-calico-CNI
4,39.6,latency-2-nodes-baremetal-calico-CNI
8,38.07,latency-2-nodes-baremetal-calico-CNI
16,37.39,latency-2-nodes-baremetal-calico-CNI
32,37.19,latency-2-nodes-baremetal-calico-CNI
64,38.39,latency-2-nodes-baremetal-calico-CNI
128,38.99,latency-2-nodes-baremetal-calico-CNI
256,37.67,latency-2-nodes-baremetal-calico-CNI
512,39.0,latency-2-nodes-baremetal-calico-CNI
1024,39.02,latency-2-nodes-baremetal-calico-CNI
2048,51.96,latency-2-nodes-baremetal-calico-CNI
4096,56.7,latency-2-nodes-baremetal-calico-CNI
8192,60.55,latency-2-nodes-baremetal-calico-CNI
16384,68.55,latency-2-nodes-baremetal-calico-CNI
32768,79.34,latency-2-nodes-baremetal-calico-CNI
65536,106.06,latency-2-nodes-baremetal-calico-CNI
131072,149.41,latency-2-nodes-baremetal-calico-CNI
262144,330.59,latency-2-nodes-baremetal-calico-CNI
524288,749.76,latency-2-nodes-baremetal-calico-CNI
1048576,1596.99,latency-2-nodes-baremetal-calico-CNI
2097152,3240.56,latency-2-nodes-baremetal-calico-CNI
4194304,6582.45,latency-2-nodes-baremetal-calico-CNI
2,37.42,latency-2-nodes-baremetal-calico-CNI
4,36.73,latency-2-nodes-baremetal-calico-CNI
8,37.42,latency-2-nodes-baremetal-calico-CNI
16,37.91,latency-2-nodes-baremetal-calico-CNI
32,39.97,latency-2-nodes-baremetal-calico-CNI
64,38.77,latency-2-nodes-baremetal-calico-CNI
128,38.09,latency-2-nodes-baremetal-calico-CNI
256,38.34,latency-2-nodes-baremetal-calico-CNI
512,39.18,latency-2-nodes-baremetal-calico-CNI
1024,41.07,latency-2-nodes-baremetal-calico-CNI
2048,52.34,latency-2-nodes-baremetal-calico-CNI
4096,57.56,latency-2-nodes-baremetal-calico-CNI
8192,63.26,latency-2-nodes-baremetal-calico-CNI
16384,63.61,latency-2-nodes-baremetal-calico-CNI
32768,74.87,latency-2-nodes-baremetal-calico-CNI
65536,105.49,latency-2-nodes-baremetal-calico-CNI
131072,138.39,latency-2-nodes-baremetal-calico-CNI
262144,321.89,latency-2-nodes-baremetal-calico-CNI
524288,766.7,latency-2-nodes-baremetal-calico-CNI
1048576,1563.75,latency-2-nodes-baremetal-calico-CNI
2097152,3255.04,latency-2-nodes-baremetal-calico-CNI
4194304,6501.15,latency-2-nodes-baremetal-calico-CNI
2,38.1,latency-2-nodes-baremetal-calico-CNI
4,37.5,latency-2-nodes-baremetal-calico-CNI
8,38.42,latency-2-nodes-baremetal-calico-CNI
16,39.21,latency-2-nodes-baremetal-calico-CNI
32,37.43,latency-2-nodes-baremetal-calico-CNI
64,37.52,latency-2-nodes-baremetal-calico-CNI
128,39.22,latency-2-nodes-baremetal-calico-CNI
256,40.21,latency-2-nodes-baremetal-calico-CNI
512,39.21,latency-2-nodes-baremetal-calico-CNI
1024,38.35,latency-2-nodes-baremetal-calico-CNI
2048,55.82,latency-2-nodes-baremetal-calico-CNI
4096,59.25,latency-2-nodes-baremetal-calico-CNI
8192,60.36,latency-2-nodes-baremetal-calico-CNI
16384,67.44,latency-2-nodes-baremetal-calico-CNI
32768,61.44,latency-2-nodes-baremetal-calico-CNI
65536,77.25,latency-2-nodes-baremetal-calico-CNI
131072,100.84,latency-2-nodes-baremetal-calico-CNI
262144,231.37,latency-2-nodes-baremetal-calico-CNI
524288,546.31,latency-2-nodes-baremetal-calico-CNI
1048576,1120.54,latency-2-nodes-baremetal-calico-CNI
2097152,2363.0,latency-2-nodes-baremetal-calico-CNI
4194304,5037.46,latency-2-nodes-baremetal-calico-CNI
2,28.86,latency-2-nodes-baremetal-calico-CNI
4,29.08,latency-2-nodes-baremetal-calico-CNI
8,29.66,latency-2-nodes-baremetal-calico-CNI
16,29.14,latency-2-nodes-baremetal-calico-CNI
32,30.43,latency-2-nodes-baremetal-calico-CNI
64,29.96,latency-2-nodes-baremetal-calico-CNI
128,31.43,latency-2-nodes-baremetal-calico-CNI
256,29.56,latency-2-nodes-baremetal-calico-CNI
512,32.14,latency-2-nodes-baremetal-calico-CNI
1024,32.62,latency-2-nodes-baremetal-calico-CNI
2048,41.29,latency-2-nodes-baremetal-calico-CNI
4096,42.09,latency-2-nodes-baremetal-calico-CNI
8192,45.4,latency-2-nodes-baremetal-calico-CNI
16384,49.08,latency-2-nodes-baremetal-calico-CNI
32768,61.17,latency-2-nodes-baremetal-calico-CNI
65536,81.22,latency-2-nodes-baremetal-calico-CNI
131072,105.73,latency-2-nodes-baremetal-calico-CNI
262144,253.4,latency-2-nodes-baremetal-calico-CNI
524288,615.3,latency-2-nodes-baremetal-calico-CNI
1048576,1233.76,latency-2-nodes-baremetal-calico-CNI
2097152,2607.68,latency-2-nodes-baremetal-calico-CNI
4194304,5266.24,latency-2-nodes-baremetal-calico-CNI
2,29.08,latency-2-nodes-baremetal-calico-CNI
4,29.81,latency-2-nodes-baremetal-calico-CNI
8,31.23,latency-2-nodes-baremetal-calico-CNI
16,31.82,latency-2-nodes-baremetal-calico-CNI
32,30.12,latency-2-nodes-baremetal-calico-CNI
64,29.42,latency-2-nodes-baremetal-calico-CNI
128,29.64,latency-2-nodes-baremetal-calico-CNI
256,30.76,latency-2-nodes-baremetal-calico-CNI
512,33.11,latency-2-nodes-baremetal-calico-CNI
1024,31.05,latency-2-nodes-baremetal-calico-CNI
2048,40.36,latency-2-nodes-baremetal-calico-CNI
4096,43.86,latency-2-nodes-baremetal-calico-CNI
8192,50.36,latency-2-nodes-baremetal-calico-CNI
16384,49.6,latency-2-nodes-baremetal-calico-CNI
32768,59.5,latency-2-nodes-baremetal-calico-CNI
65536,80.4,latency-2-nodes-baremetal-calico-CNI
131072,109.76,latency-2-nodes-baremetal-calico-CNI
262144,269.72,latency-2-nodes-baremetal-calico-CNI
524288,624.89,latency-2-nodes-baremetal-calico-CNI
1048576,1291.04,latency-2-nodes-baremetal-calico-CNI
2097152,2638.42,latency-2-nodes-baremetal-calico-CNI
4194304,5299.44,latency-2-nodes-baremetal-calico-CNI
2,22.76,latency-2-nodes-baremetal-flannel-CNI
4,23.06,latency-2-nodes-baremetal-flannel-CNI
8,23.94,latency-2-nodes-baremetal-flannel-CNI
16,22.66,latency-2-nodes-baremetal-flannel-CNI
32,23.26,latency-2-nodes-baremetal-flannel-CNI
64,23.39,latency-2-nodes-baremetal-flannel-CNI
128,24.16,latency-2-nodes-baremetal-flannel-CNI
256,22.92,latency-2-nodes-baremetal-flannel-CNI
512,23.28,latency-2-nodes-baremetal-flannel-CNI
1024,23.62,latency-2-nodes-baremetal-flannel-CNI
2048,32.92,latency-2-nodes-baremetal-flannel-CNI
4096,35.2,latency-2-nodes-baremetal-flannel-CNI
8192,36.94,latency-2-nodes-baremetal-flannel-CNI
16384,40.66,latency-2-nodes-baremetal-flannel-CNI
32768,47.92,latency-2-nodes-baremetal-flannel-CNI
65536,66.7,latency-2-nodes-baremetal-flannel-CNI
131072,94.98,latency-2-nodes-baremetal-flannel-CNI
262144,212.13,latency-2-nodes-baremetal-flannel-CNI
524288,501.96,latency-2-nodes-baremetal-flannel-CNI
1048576,1104.14,latency-2-nodes-baremetal-flannel-CNI
2097152,2144.95,latency-2-nodes-baremetal-flannel-CNI
4194304,4262.54,latency-2-nodes-baremetal-flannel-CNI
2,22.81,latency-2-nodes-baremetal-flannel-CNI
4,24.34,latency-2-nodes-baremetal-flannel-CNI
8,24.73,latency-2-nodes-baremetal-flannel-CNI
16,24.0,latency-2-nodes-baremetal-flannel-CNI
32,24.0,latency-2-nodes-baremetal-flannel-CNI
64,23.73,latency-2-nodes-baremetal-flannel-CNI
128,24.0,latency-2-nodes-baremetal-flannel-CNI
256,24.34,latency-2-nodes-baremetal-flannel-CNI
512,24.55,latency-2-nodes-baremetal-flannel-CNI
1024,24.04,latency-2-nodes-baremetal-flannel-CNI
2048,32.47,latency-2-nodes-baremetal-flannel-CNI
4096,34.29,latency-2-nodes-baremetal-flannel-CNI
8192,37.6,latency-2-nodes-baremetal-flannel-CNI
16384,38.62,latency-2-nodes-baremetal-flannel-CNI
32768,47.13,latency-2-nodes-baremetal-flannel-CNI
65536,66.05,latency-2-nodes-baremetal-flannel-CNI
131072,88.67,latency-2-nodes-baremetal-flannel-CNI
262144,218.97,latency-2-nodes-baremetal-flannel-CNI
524288,504.45,latency-2-nodes-baremetal-flannel-CNI
1048576,1045.86,latency-2-nodes-baremetal-flannel-CNI
2097152,2121.48,latency-2-nodes-baremetal-flannel-CNI
4194304,4290.16,latency-2-nodes-baremetal-flannel-CNI
2,24.11,latency-2-nodes-baremetal-flannel-CNI
4,24.59,latency-2-nodes-baremetal-flannel-CNI
8,22.75,latency-2-nodes-baremetal-flannel-CNI
16,24.19,latency-2-nodes-baremetal-flannel-CNI
32,23.32,latency-2-nodes-baremetal-flannel-CNI
64,23.61,latency-2-nodes-baremetal-flannel-CNI
128,24.04,latency-2-nodes-baremetal-flannel-CNI
256,24.07,latency-2-nodes-baremetal-flannel-CNI
512,23.86,latency-2-nodes-baremetal-flannel-CNI
1024,24.47,latency-2-nodes-baremetal-flannel-CNI
2048,34.17,latency-2-nodes-baremetal-flannel-CNI
4096,35.68,latency-2-nodes-baremetal-flannel-CNI
8192,36.35,latency-2-nodes-baremetal-flannel-CNI
16384,38.12,latency-2-nodes-baremetal-flannel-CNI
32768,49.05,latency-2-nodes-baremetal-flannel-CNI
65536,69.18,latency-2-nodes-baremetal-flannel-CNI
131072,91.68,latency-2-nodes-baremetal-flannel-CNI
262144,229.93,latency-2-nodes-baremetal-flannel-CNI
524288,515.45,latency-2-nodes-baremetal-flannel-CNI
1048576,1089.26,latency-2-nodes-baremetal-flannel-CNI
2097152,2232.41,latency-2-nodes-baremetal-flannel-CNI
4194304,4479.88,latency-2-nodes-baremetal-flannel-CNI
2,23.54,latency-2-nodes-baremetal-flannel-CNI
4,25.11,latency-2-nodes-baremetal-flannel-CNI
8,25.41,latency-2-nodes-baremetal-flannel-CNI
16,23.06,latency-2-nodes-baremetal-flannel-CNI
32,23.08,latency-2-nodes-baremetal-flannel-CNI
64,23.14,latency-2-nodes-baremetal-flannel-CNI
128,23.86,latency-2-nodes-baremetal-flannel-CNI
256,24.13,latency-2-nodes-baremetal-flannel-CNI
512,25.22,latency-2-nodes-baremetal-flannel-CNI
1024,24.13,latency-2-nodes-baremetal-flannel-CNI
2048,32.07,latency-2-nodes-baremetal-flannel-CNI
4096,36.37,latency-2-nodes-baremetal-flannel-CNI
8192,38.83,latency-2-nodes-baremetal-flannel-CNI
16384,43.05,latency-2-nodes-baremetal-flannel-CNI
32768,49.47,latency-2-nodes-baremetal-flannel-CNI
65536,71.18,latency-2-nodes-baremetal-flannel-CNI
131072,97.46,latency-2-nodes-baremetal-flannel-CNI
262144,211.84,latency-2-nodes-baremetal-flannel-CNI
524288,501.3,latency-2-nodes-baremetal-flannel-CNI
1048576,1077.21,latency-2-nodes-baremetal-flannel-CNI
2097152,2206.77,latency-2-nodes-baremetal-flannel-CNI
4194304,4442.52,latency-2-nodes-baremetal-flannel-CNI
2,24.28,latency-2-nodes-baremetal-flannel-CNI
4,24.22,latency-2-nodes-baremetal-flannel-CNI
8,24.33,latency-2-nodes-baremetal-flannel-CNI
16,23.66,latency-2-nodes-baremetal-flannel-CNI
32,23.83,latency-2-nodes-baremetal-flannel-CNI
64,25.16,latency-2-nodes-baremetal-flannel-CNI
128,23.91,latency-2-nodes-baremetal-flannel-CNI
256,23.66,latency-2-nodes-baremetal-flannel-CNI
512,24.55,latency-2-nodes-baremetal-flannel-CNI
1024,25.11,latency-2-nodes-baremetal-flannel-CNI
2048,33.79,latency-2-nodes-baremetal-flannel-CNI
4096,35.96,latency-2-nodes-baremetal-flannel-CNI
8192,37.81,latency-2-nodes-baremetal-flannel-CNI
16384,40.55,latency-2-nodes-baremetal-flannel-CNI
32768,48.85,latency-2-nodes-baremetal-flannel-CNI
65536,68.58,latency-2-nodes-baremetal-flannel-CNI
131072,97.19,latency-2-nodes-baremetal-flannel-CNI
262144,212.12,latency-2-nodes-baremetal-flannel-CNI
524288,502.62,latency-2-nodes-baremetal-flannel-CNI
1048576,1080.9,latency-2-nodes-baremetal-flannel-CNI
2097152,2199.67,latency-2-nodes-baremetal-flannel-CNI
4194304,4459.84,latency-2-nodes-baremetal-flannel-CNI
2,23.82,latency-2-nodes-baremetal-flannel-CNI
4,23.38,latency-2-nodes-baremetal-flannel-CNI
8,24.42,latency-2-nodes-baremetal-flannel-CNI
16,23.56,latency-2-nodes-baremetal-flannel-CNI
32,24.09,latency-2-nodes-baremetal-flannel-CNI
64,24.07,latency-2-nodes-baremetal-flannel-CNI
128,24.42,latency-2-nodes-baremetal-flannel-CNI
256,24.0,latency-2-nodes-baremetal-flannel-CNI
512,25.01,latency-2-nodes-baremetal-flannel-CNI
1024,25.54,latency-2-nodes-baremetal-flannel-CNI
2048,31.82,latency-2-nodes-baremetal-flannel-CNI
4096,34.91,latency-2-nodes-baremetal-flannel-CNI
8192,39.36,latency-2-nodes-baremetal-flannel-CNI
16384,41.97,latency-2-nodes-baremetal-flannel-CNI
32768,52.12,latency-2-nodes-baremetal-flannel-CNI
65536,71.26,latency-2-nodes-baremetal-flannel-CNI
131072,96.83,latency-2-nodes-baremetal-flannel-CNI
262144,222.21,latency-2-nodes-baremetal-flannel-CNI
524288,520.07,latency-2-nodes-baremetal-flannel-CNI
1048576,1104.82,latency-2-nodes-baremetal-flannel-CNI
2097152,2238.15,latency-2-nodes-baremetal-flannel-CNI
4194304,4512.11,latency-2-nodes-baremetal-flannel-CNI
2,24.07,latency-2-nodes-baremetal-flannel-CNI
4,23.62,latency-2-nodes-baremetal-flannel-CNI
8,24.42,latency-2-nodes-baremetal-flannel-CNI
16,23.25,latency-2-nodes-baremetal-flannel-CNI
32,24.24,latency-2-nodes-baremetal-flannel-CNI
64,23.76,latency-2-nodes-baremetal-flannel-CNI
128,24.43,latency-2-nodes-baremetal-flannel-CNI
256,24.05,latency-2-nodes-baremetal-flannel-CNI
512,25.49,latency-2-nodes-baremetal-flannel-CNI
1024,25.38,latency-2-nodes-baremetal-flannel-CNI
2048,33.22,latency-2-nodes-baremetal-flannel-CNI
4096,36.7,latency-2-nodes-baremetal-flannel-CNI
