Size,Latency(us),Benchmark
8,0.4,latency-1-node-baremetal-calico-CNI
16,0.43,latency-1-node-baremetal-calico-CNI
32,0.49,latency-1-node-baremetal-calico-CNI
64,0.47,latency-1-node-baremetal-calico-CNI
128,0.52,latency-1-node-baremetal-calico-CNI
256,0.53,latency-1-node-baremetal-calico-CNI
512,0.56,latency-1-node-baremetal-calico-CNI
1024,0.65,latency-1-node-baremetal-calico-CNI
2048,0.75,latency-1-node-baremetal-calico-CNI
4096,1.02,latency-1-node-baremetal-calico-CNI
8192,1.59,latency-1-node-baremetal-calico-CNI
16384,1.91,latency-1-node-baremetal-calico-CNI
32768,2.71,latency-1-node-baremetal-calico-CNI
65536,4.25,latency-1-node-baremetal-calico-CNI
131072,7.43,latency-1-node-baremetal-calico-CNI
262144,15.16,latency-1-node-baremetal-calico-CNI
524288,29.95,latency-1-node-baremetal-calico-CNI
1048576,68.95,latency-1-node-baremetal-calico-CNI
2097152,248.5,latency-1-node-baremetal-calico-CNI
4194304,583.66,latency-1-node-baremetal-calico-CNI
2,0.63,latency-1-node-baremetal-calico-CNI
4,0.52,latency-1-node-baremetal-calico-CNI
8,0.43,latency-1-node-baremetal-calico-CNI
16,0.52,latency-1-node-baremetal-calico-CNI
32,0.49,latency-1-node-baremetal-calico-CNI
64,0.49,latency-1-node-baremetal-calico-CNI
128,0.5,latency-1-node-baremetal-calico-CNI
256,0.51,latency-1-node-baremetal-calico-CNI
512,0.55,latency-1-node-baremetal-calico-CNI
1024,0.59,latency-1-node-baremetal-calico-CNI
2048,0.71,latency-1-node-baremetal-calico-CNI
4096,1.03,latency-1-node-baremetal-calico-CNI
8192,1.57,latency-1-node-baremetal-calico-CNI
16384,2.14,latency-1-node-baremetal-calico-CNI
32768,2.93,latency-1-node-baremetal-calico-CNI
65536,4.5,latency-1-node-baremetal-calico-CNI
131072,7.61,latency-1-node-baremetal-calico-CNI
262144,15.46,latency-1-node-baremetal-calico-CNI
524288,29.33,latency-1-node-baremetal-calico-CNI
1048576,60.82,latency-1-node-baremetal-calico-CNI
2097152,225.27,latency-1-node-baremetal-calico-CNI
4194304,576.37,latency-1-node-baremetal-calico-CNI
2,0.39,latency-1-node-baremetal-calico-CNI
4,0.39,latency-1-node-baremetal-calico-CNI
8,0.4,latency-1-node-baremetal-calico-CNI
16,0.41,latency-1-node-baremetal-calico-CNI
32,0.48,latency-1-node-baremetal-calico-CNI
64,0.49,latency-1-node-baremetal-calico-CNI
128,0.52,latency-1-node-baremetal-calico-CNI
256,0.53,latency-1-node-baremetal-calico-CNI
512,0.57,latency-1-node-baremetal-calico-CNI
1024,0.64,latency-1-node-baremetal-calico-CNI
2048,0.74,latency-1-node-baremetal-calico-CNI
4096,1.03,latency-1-node-baremetal-calico-CNI
8192,1.6,latency-1-node-baremetal-calico-CNI
16384,2.04,latency-1-node-baremetal-calico-CNI
32768,2.72,latency-1-node-baremetal-calico-CNI
65536,4.53,latency-1-node-baremetal-calico-CNI
131072,8.72,latency-1-node-baremetal-calico-CNI
262144,15.85,latency-1-node-baremetal-calico-CNI
524288,31.97,latency-1-node-baremetal-calico-CNI
1048576,63.43,latency-1-node-baremetal-calico-CNI
2097152,225.54,latency-1-node-baremetal-calico-CNI
4194304,581.93,latency-1-node-baremetal-calico-CNI
2,0.38,latency-1-node-baremetal-calico-CNI
4,0.39,latency-1-node-baremetal-calico-CNI
8,0.4,latency-1-node-baremetal-calico-CNI
16,0.42,latency-1-node-baremetal-calico-CNI
32,0.49,latency-1-node-baremetal-calico-CNI
64,0.48,latency-1-node-baremetal-calico-CNI
128,0.53,latency-1-node-baremetal-calico-CNI
256,0.54,latency-1-node-baremetal-calico-CNI
512,0.6,latency-1-node-baremetal-calico-CNI
1024,0.64,latency-1-node-baremetal-calico-CNI
2048,0.75,latency-1-node-baremetal-calico-CNI
4096,1.08,latency-1-node-baremetal-calico-CNI
8192,1.64,latency-1-node-baremetal-calico-CNI
16384,2.01,latency-1-node-baremetal-calico-CNI
32768,2.86,latency-1-node-baremetal-calico-CNI
65536,4.49,latency-1-node-baremetal-calico-CNI
131072,8.09,latency-1-node-baremetal-calico-CNI
262144,16.5,latency-1-node-baremetal-calico-CNI
524288,31.98,latency-1-node-baremetal-calico-CNI
1048576,65.04,latency-1-node-baremetal-calico-CNI
2097152,219.31,latency-1-node-baremetal-calico-CNI
4194304,571.05,latency-1-node-baremetal-calico-CNI
2,0.39,latency-1-node-baremetal-calico-CNI
4,0.38,latency-1-node-baremetal-calico-CNI
8,0.4,latency-1-node-baremetal-calico-CNI
16,0.44,latency-1-node-baremetal-calico-CNI
32,0.48,latency-1-node-baremetal-calico-CNI
64,0.54,latency-1-node-baremetal-calico-CNI
128,0.54,latency-1-node-baremetal-calico-CNI
256,0.53,latency-1-node-baremetal-calico-CNI
512,0.55,latency-1-node-baremetal-calico-CNI
1024,0.63,latency-1-node-baremetal-calico-CNI
2048,0.79,latency-1-node-baremetal-calico-CNI
4096,1.03,latency-1-node-baremetal-calico-CNI
8192,1.62,latency-1-node-baremetal-calico-CNI
16384,1.97,latency-1-node-baremetal-calico-CNI
32768,2.6,latency-1-node-baremetal-calico-CNI
65536,4.23,latency-1-node-baremetal-calico-CNI
131072,7.4,latency-1-node-baremetal-calico-CNI
262144,15.24,latency-1-node-baremetal-calico-CNI
524288,30.2,latency-1-node-baremetal-calico-CNI
1048576,62.36,latency-1-node-baremetal-calico-CNI
2097152,220.98,latency-1-node-baremetal-calico-CNI
4194304,576.06,latency-1-node-baremetal-calico-CNI
2,0.39,latency-1-node-baremetal-calico-CNI
4,0.4,latency-1-node-baremetal-calico-CNI
8,0.4,latency-1-node-baremetal-calico-CNI
16,0.44,latency-1-node-baremetal-calico-CNI
32,0.47,latency-1-node-baremetal-calico-CNI
64,0.48,latency-1-node-baremetal-calico-CNI
128,0.53,latency-1-node-baremetal-calico-CNI
256,0.53,latency-1-node-baremetal-calico-CNI
512,0.58,latency-1-node-baremetal-calico-CNI
1024,0.64,latency-1-node-baremetal-calico-CNI
2048,0.73,latency-1-node-baremetal-calico-CNI
4096,1.06,latency-1-node-baremetal-calico-CNI
8192,1.62,latency-1-node-baremetal-calico-CNI
16384,1.94,latency-1-node-baremetal-calico-CNI
32768,2.6,latency-1-node-baremetal-calico-CNI
65536,4.25,latency-1-node-baremetal-calico-CNI
131072,7.62,latency-1-node-baremetal-calico-CNI
262144,15.92,latency-1-node-baremetal-calico-CNI
524288,30.91,latency-1-node-baremetal-calico-CNI
1048576,67.95,latency-1-node-baremetal-calico-CNI
2097152,219.39,latency-1-node-baremetal-calico-CNI
4194304,581.14,latency-1-node-baremetal-calico-CNI
2,0.38,latency-1-node-baremetal-calico-CNI
4,0.4,latency-1-node-baremetal-calico-CNI
8,0.37,latency-1-node-baremetal-calico-CNI
16,0.39,latency-1-node-baremetal-calico-CNI
32,0.46,latency-1-node-baremetal-calico-CNI
64,0.45,latency-1-node-baremetal-calico-CNI
128,0.54,latency-1-node-baremetal-calico-CNI
256,0.52,latency-1-node-baremetal-calico-CNI
512,0.55,latency-1-node-baremetal-calico-CNI
1024,0.61,latency-1-node-baremetal-calico-CNI
2048,0.72,latency-1-node-baremetal-calico-CNI
4096,1.02,latency-1-node-baremetal-calico-CNI
8192,1.55,latency-1-node-baremetal-calico-CNI
16384,1.87,latency-1-node-baremetal-calico-CNI
32768,2.54,latency-1-node-baremetal-calico-CNI
65536,4.24,latency-1-node-baremetal-calico-CNI
131072,7.39,latency-1-node-baremetal-calico-CNI
262144,15.25,latency-1-node-baremetal-calico-CNI
524288,29.65,latency-1-node-baremetal-calico-CNI
1048576,60.42,latency-1-node-baremetal-calico-CNI
2097152,220.87,latency-1-node-baremetal-calico-CNI
4194304,584.66,latency-1-node-baremetal-calico-CNI
2,0.39,latency-1-node-baremetal-calico-CNI
4,0.4,latency-1-node-baremetal-calico-CNI
8,0.41,latency-1-node-baremetal-calico-CNI
16,0.4,latency-1-node-baremetal-calico-CNI
32,0.49,latency-1-node-baremetal-calico-CNI
64,0.49,latency-1-node-baremetal-calico-CNI
128,0.53,latency-1-node-baremetal-calico-CNI
256,0.55,latency-1-node-baremetal-calico-CNI
512,0.59,latency-1-node-baremetal-calico-CNI
1024,0.62,latency-1-node-baremetal-calico-CNI
2048,0.72,latency-1-node-baremetal-calico-CNI
4096,1.05,latency-1-node-baremetal-calico-CNI
8192,1.67,latency-1-node-baremetal-calico-CNI
16384,1.94,latency-1-node-baremetal-calico-CNI
32768,2.69,latency-1-node-baremetal-calico-CNI
65536,4.38,latency-1-node-baremetal-calico-CNI
131072,7.81,latency-1-node-baremetal-calico-CNI
262144,17.21,latency-1-node-baremetal-calico-CNI
524288,31.36,latency-1-node-baremetal-calico-CNI
1048576,63.98,latency-1-node-baremetal-calico-CNI
2097152,221.2,latency-1-node-baremetal-calico-CNI
4194304,560.71,latency-1-node-baremetal-calico-CNI
2,0.47,latency-1-node-baremetal-calico-CNI
4,0.4,latency-1-node-baremetal-calico-CNI
8,0.38,latency-1-node-baremetal-calico-CNI
16,0.4,latency-1-node-baremetal-calico-CNI
32,0.47,latency-1-node-baremetal-calico-CNI
64,0.47,latency-1-node-baremetal-calico-CNI
128,0.51,latency-1-node-baremetal-calico-CNI
256,0.54,latency-1-node-baremetal-calico-CNI
512,0.55,latency-1-node-baremetal-calico-CNI
1024,0.62,latency-1-node-baremetal-calico-CNI
2048,0.76,latency-1-node-baremetal-calico-CNI
4096,1.05,latency-1-node-baremetal-calico-CNI
8192,1.62,latency-1-node-baremetal-calico-CNI
16384,1.89,latency-1-node-baremetal-calico-CNI
32768,2.63,latency-1-node-baremetal-calico-CNI
65536,4.17,latency-1-node-baremetal-calico-CNI
