Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.253.235]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.51.23]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
2048                   54.27
4096                   62.91
8192                   78.00
16384                 110.28
32768                 160.98
65536                 345.49
131072                480.70
262144                860.98
524288               1578.56
1048576              2931.47
2097152              5681.71
4194304             11339.64
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.51.39]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.253.205]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      39.23
2                      39.30
4                      42.14
8                      42.02
16                     41.64
32                     40.76
64                     43.59
128                    39.21
256                    42.43
512                    39.26
1024                   43.00
2048                   54.20
4096                   63.61
8192                   75.10
16384                 110.29
32768                 170.06
65536                 334.88
131072                521.64
262144                833.99
524288               1572.52
1048576              2996.34
2097152              5810.94
4194304             11335.94
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.253.207]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.51.40]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      39.96
2                      39.15
4                      38.44
8                      40.60
16                     39.47
32                     42.97
64                     40.63
128                    40.32
256                    36.39
512                    41.15
1024                   43.49
2048                   54.63
4096                   62.76
8192                   76.52
16384                 108.56
32768                 159.34
65536                 334.32
131072                552.78
262144                906.11
524288               1556.98
1048576              3148.06
2097152              5581.85
4194304             12830.13
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.51.41]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.253.209]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      40.08
2                      40.33
4                      41.98
8                      39.74
16                     42.80
32                     39.85
64                     41.87
128                    42.82
256                    40.62
512                    40.55
1024                   40.04
2048                   71.81
4096                   89.70
8192                  108.16
16384                 151.33
32768                 237.17
65536                 564.84
131072                731.83
262144               1432.12
524288               2261.92
1048576              4270.00
2097152              8269.16
4194304             16263.10
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.51.42]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.253.212]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      42.44
2                      42.93
4                      41.59
8                      41.92
16                     40.86
32                     42.10
64                     37.64
128                    38.81
256                    40.10
512                    39.62
1024                   40.73
2048                   64.00
4096                   92.17
8192                  115.93
16384                 155.42
32768                 228.64
65536                 490.36
131072                745.98
262144               1290.01
524288               2305.37
1048576              4153.65
2097152              8197.89
4194304             16101.66
