Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.46]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.24]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
4096                   55.07
8192                   61.00
16384                  81.89
32768                 110.87
65536                 262.12
131072                339.10
262144                492.77
524288                709.73
1048576              1195.47
2097152              2140.23
4194304              4052.15
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.78]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.40]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      31.32
2                      32.33
4                      31.07
8                      31.86
16                     32.11
32                     32.39
64                     31.26
128                    31.88
256                    32.16
512                    31.49
1024                   31.96
2048                   50.45
4096                   54.39
8192                   65.63
16384                 112.26
32768                 174.80
65536                 360.93
131072                490.61
262144                744.11
524288               1057.84
1048576              1759.19
2097152              3180.19
4194304              5948.10
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.80]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.41]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      31.21
2                      32.48
4                      31.55
8                      32.12
16                     33.28
32                     32.48
64                     31.63
128                    31.25
256                    32.01
512                    33.60
1024                   31.69
2048                   49.51
4096                   53.72
8192                   78.07
16384                 121.09
32768                 179.85
65536                 369.71
131072                493.41
262144                715.01
524288               1045.87
1048576              1716.74
2097152              3196.25
4194304              5945.46
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.42]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.82]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      32.17
2                      31.11
4                      31.87
8                      31.09
16                     32.69
32                     31.42
64                     30.53
128                    32.77
256                    33.30
512                    32.67
1024                   31.80
2048                   49.06
4096                   51.91
8192                   68.31
16384                 109.50
32768                 172.62
65536                 381.68
131072                466.15
262144                702.05
524288               1062.68
1048576              1712.57
2097152              3099.69
4194304              5954.98
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.43]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.84]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      31.57
2                      33.09
4                      33.05
8                      32.18
16                     31.54
32                     32.61
64                     31.44
128                    31.80
256                    32.23
512                    32.58
1024                   31.79
2048                   49.20
4096                   52.25
8192                   60.07
16384                  76.42
32768                 111.71
65536                 243.49
131072                347.71
262144                442.60
524288                693.15
1048576              1204.72
2097152              2172.24
4194304              4032.65
